season,round,grand_prix,driver_number,driver,team,stint,compound,stint_len_laps,mean_lap_s,median_lap_s,p90_lap_s,start_lap,end_lap,degradation_s_per_lap
2024,3,Australian Grand Prix,3,RIC,RB,2.0,HARD,21,83.37119047619048,83.187,83.885,7.0,28.0,0.007264604626141047
2024,3,Australian Grand Prix,3,RIC,RB,3.0,HARD,26,82.34365384615384,82.03,83.725,31.0,56.0,-0.010663589743591514
2024,3,Australian Grand Prix,31,OCO,Alpine,1.0,MEDIUM,7,83.662,83.577,84.1766,2.0,8.0,-0.19967857142856846
2024,3,Australian Grand Prix,31,OCO,Alpine,2.0,HARD,5,83.0774,83.091,83.251,11.0,15.0,-0.02590000000001138
2024,3,Australian Grand Prix,31,OCO,Alpine,3.0,HARD,23,83.01726086956522,82.901,83.2236,18.0,41.0,0.029524379910648005
2024,3,Australian Grand Prix,31,OCO,Alpine,4.0,HARD,12,81.93016666666666,81.8145,82.29650000000001,44.0,55.0,0.050454545454543635
2024,3,Australian Grand Prix,4,NOR,McLaren,1.0,MEDIUM,12,82.78866666666667,82.711,83.13130000000001,2.0,13.0,0.012594405594405875
2024,3,Australian Grand Prix,4,NOR,McLaren,2.0,HARD,22,81.76363636363637,81.747,81.972,16.0,39.0,-0.013603006491283785
2024,3,Australian Grand Prix,4,NOR,McLaren,3.0,HARD,16,80.3334375,80.264,80.636,42.0,57.0,-0.023519117647056404
2024,3,Australian Grand Prix,44,HAM,Mercedes,1.0,SOFT,5,83.4564,83.436,83.8554,2.0,6.0,-0.1293999999999978
2024,3,Australian Grand Prix,44,HAM,Mercedes,2.0,HARD,7,83.20485714285714,83.041,84.2026,9.0,15.0,0.08549999999999597
2024,3,Australian Grand Prix,55,SAI,Ferrari,1.0,MEDIUM,14,82.36728571428571,82.43350000000001,82.6263,2.0,15.0,-0.035789010989010314
2024,3,Australian Grand Prix,55,SAI,Ferrari,2.0,HARD,22,81.54327272727272,81.492,81.919,19.0,40.0,0.0027363071710913675
2024,3,Australian Grand Prix,55,SAI,Ferrari,3.0,HARD,15,80.4854,80.45,80.836,43.0,57.0,0.028307142857144352
2024,3,Australian Grand Prix,63,RUS,Mercedes,1.0,MEDIUM,6,83.16833333333334,83.1455,83.459,2.0,7.0,-0.08765714285714328
2024,3,Australian Grand Prix,63,RUS,Mercedes,2.0,HARD,33,82.73127272727272,82.663,83.3852,10.0,44.0,-0.03224133445764231
2024,3,Australian Grand Prix,63,RUS,Mercedes,3.0,HARD,10,80.7003,80.717,81.00319999999999,47.0,56.0,0.018151515151520747
2024,3,Australian Grand Prix,77,BOT,Kick Sauber,1.0,MEDIUM,6,83.62349999999999,83.6325,84.041,2.0,7.0,-0.10357142857143495
2024,3,Australian Grand Prix,77,BOT,Kick Sauber,2.0,HARD,24,82.976125,82.941,83.42649999999999,10.0,35.0,-0.012756064690027194
2024,3,Australian Grand Prix,77,BOT,Kick Sauber,3.0,HARD,18,82.19116666666667,81.7875,83.4381,38.0,55.0,-0.02077915376677127
2024,3,Australian Grand Prix,81,PIA,McLaren,1.0,MEDIUM,7,82.79814285714285,82.669,83.12400000000001,2.0,8.0,-0.004392857142857321
2024,3,Australian Grand Prix,81,PIA,McLaren,2.0,HARD,26,82.2913076923077,82.072,82.838,11.0,38.0,0.0167788132752269
2024,3,Australian Grand Prix,81,PIA,McLaren,3.0,HARD,17,80.83682352941177,80.496,81.2176,41.0,57.0,0.06269852941176489
2025,1,Australian Grand Prix,1,VER,Red Bull Racing,5.0,MEDIUM,3,85.06233333333334,85.317,86.4946,42.0,44.0,0.7359999999999991
2025,1,Australian Grand Prix,1,VER,Red Bull Racing,6.0,INTERMEDIATE,1,87.4,87.4,87.4,57.0,57.0,
2025,1,Australian Grand Prix,10,GAS,Alpine,5.0,HARD,1,85.02,85.02,85.02,43.0,43.0,
2025,1,Australian Grand Prix,12,ANT,Mercedes,5.0,HARD,2,86.203,86.203,87.24459999999999,42.0,43.0,
2025,1,Australian Grand Prix,16,LEC,Ferrari,5.0,HARD,2,86.051,86.051,86.675,42.0,43.0,
2025,1,Australian Grand Prix,18,STR,Aston Martin,5.0,HARD,2,86.4195,86.4195,87.1247,42.0,43.0,
2025,1,Australian Grand Prix,22,TSU,Racing Bulls,5.0,MEDIUM,2,85.67,85.67,86.8508,42.0,43.0,
2025,1,Australian Grand Prix,23,ALB,Williams,5.0,MEDIUM,2,85.862,85.862,86.874,42.0,43.0,
2025,1,Australian Grand Prix,27,HUL,Kick Sauber,5.0,MEDIUM,2,86.35749999999999,86.35749999999999,87.2491,42.0,43.0,
2025,1,Australian Grand Prix,30,LAW,Red Bull Racing,5.0,MEDIUM,4,84.9615,85.215,86.4118,41.0,44.0,-0.14700000000000413
2025,1,Australian Grand Prix,31,OCO,Haas F1 Team,5.0,MEDIUM,1,86.764,86.764,86.764,42.0,42.0,
2025,1,Australian Grand Prix,4,NOR,McLaren,4.0,INTERMEDIATE,3,87.66333333333334,87.695,87.779,31.0,33.0,-0.10000000000001374
2025,1,Australian Grand Prix,4,NOR,McLaren,5.0,HARD,2,82.982,82.982,83.634,42.0,43.0,
2025,1,Australian Grand Prix,4,NOR,McLaren,6.0,INTERMEDIATE,1,87.126,87.126,87.126,57.0,57.0,
2025,1,Australian Grand Prix,44,HAM,Ferrari,5.0,HARD,2,85.863,85.863,87.179,42.0,43.0,
2025,1,Australian Grand Prix,5,BOR,Kick Sauber,5.0,MEDIUM,2,84.481,84.481,84.7122,42.0,43.0,
2025,1,Australian Grand Prix,63,RUS,Mercedes,5.0,HARD,2,85.652,85.652,86.1216,42.0,43.0,
2025,1,Australian Grand Prix,81,PIA,McLaren,4.0,INTERMEDIATE,1,87.916,87.916,87.916,31.0,31.0,
2025,1,Australian Grand Prix,81,PIA,McLaren,5.0,HARD,2,83.9125,83.9125,84.4489,42.0,43.0,
2025,1,Australian Grand Prix,87,BEA,Haas F1 Team,5.0,MEDIUM,1,87.603,87.603,87.603,42.0,42.0,
2025,2,Chinese Grand Prix,1,VER,Red Bull Racing,1.0,MEDIUM,11,98.79490909090909,98.779,99.154,2.0,12.0,0.06678181818181138
2025,2,Chinese Grand Prix,1,VER,Red Bull Racing,2.0,HARD,42,96.78159523809524,96.7675,97.7319,15.0,56.0,-0.053423142370957764
2025,2,Chinese Grand Prix,10,GAS,Alpine,1.0,MEDIUM,8,99.145625,99.1435,99.5075,2.0,9.0,0.0008452380952472025
2025,2,Chinese Grand Prix,10,GAS,Alpine,2.0,HARD,45,97.85442222222221,97.905,99.0182,12.0,56.0,-0.059821739130433094
2025,2,Chinese Grand Prix,12,ANT,Mercedes,1.0,MEDIUM,10,98.916,98.938,99.22009999999999,2.0,11.0,0.09682424242424677
2025,2,Chinese Grand Prix,12,ANT,Mercedes,2.0,HARD,43,97.56576744186047,97.657,98.67,14.0,56.0,-0.06933192389006278
2025,2,Chinese Grand Prix,14,ALO,Aston Martin,1.0,MEDIUM,2,99.42349999999999,99.42349999999999,99.55749999999999,2.0,3.0,
2025,2,Chinese Grand Prix,16,LEC,Ferrari,1.0,MEDIUM,13,98.32900000000001,98.422,98.5858,2.0,14.0,0.03862637362637227
2025,2,Chinese Grand Prix,16,LEC,Ferrari,2.0,HARD,40,97.005,97.09049999999999,97.4623,17.0,56.0,-0.016846716697937855
2025,2,Chinese Grand Prix,18,STR,Aston Martin,1.0,HARD,34,98.90208823529412,98.934,99.5755,2.0,35.0,-0.03975019098548108
